Crop,Employee ID,Status,Inquiry Type,Inquiry Topic,Product Segment,Date,# of Inquiry,# of Inquirer,Resolution Time (min),Assigned Team,Source,Gender,State,Township
Rice,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,8/12/2022,1,1,16.67,Contact Center Team,Messenger,Female,Shan (South),Yedashe
Non Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,8/12/2022,1,1,33.33,Contact Center Team,Messenger,Female,Shan (South),Meiktila
Rice,40420,Solved,Farming Practices,General Preventions,Farming Information,8/12/2022,1,1,14,Contact Center Team,Messenger,Female,Shan (South),Meiktila
Non Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,8/12/2022,1,1,17.67,Contact Center Team,Messenger,Female,Shan (South),Meiktila
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,8/12/2022,1,1,21.67,Contact Center Team,Messenger,Female,Shan (South),Meiktila
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,8/12/2022,1,1,24.33,Contact Center Team,Messenger,Female,Shan (South),Meiktila
Non Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,8/12/2022,1,1,57,Contact Center Team,Messenger,Female,Shan (South),Meiktila
Rice,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,8/15/2022,1,1,29,Contact Center Team,Messenger,Female,Shan (South),Einme
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,8/15/2022,1,1,24.67,Contact Center Team,Messenger,Female,Shan (South),Taungoo
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,8/15/2022,1,1,5.33,Contact Center Team,Messenger,Female,Shan (South),Taungoo
Groundnut,40420,Solved,Farming Practices,General Preventions,Farming Information,8/15/2022,1,1,18,Contact Center Team,Messenger,Female,Shan (South),Taungoo
Chili,40420,Solved,Farming Practices,General Preventions,Farming Information,8/15/2022,1,1,9.67,Contact Center Team,Messenger,Female,Shan (South),Taungoo
Potato,40420,Solved,Farming Practices,General Preventions,Farming Information,8/15/2022,1,1,25.67,Contact Center Team,Messenger,Female,Shan (South),Taungoo
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,8/15/2022,1,1,21,Contact Center Team,Messenger,Female,Shan (South),Taungoo
Chili,40420,Solved,Farming Practices,General Preventions,Farming Information,8/15/2022,1,1,1.33,Contact Center Team,Messenger,Female,Shan (South),Taungoo
Groundnut,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,8/15/2022,1,1,16.67,Contact Center Team,Messenger,Female,Shan (South),Einme
Sesame,40420,Solved,Farming Practices,General Preventions,Farming Information,8/15/2022,1,1,5,Contact Center Team,Messenger,Female,Shan (South),Taungoo
Groundnut,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,8/15/2022,1,1,21.33,Contact Center Team,Messenger,Female,Shan (South),Einme
Rice,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,8/15/2022,1,1,10.33,Contact Center Team,Messenger,Female,Shan (South),Einme
Chili,40420,Solved,Farming Practices,General Preventions,Farming Information,8/15/2022,1,1,30,Contact Center Team,Messenger,Female,Shan (South),Taungoo
Rice,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,8/15/2022,1,1,27,Contact Center Team,Messenger,Female,Shan (South),Einme
Rice,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,8/15/2022,1,1,16,Contact Center Team,Messenger,Female,Shan (South),Einme
Chili,40420,Solved,Farming Practices,General Preventions,Farming Information,8/15/2022,1,1,21,Contact Center Team,Messenger,Female,Shan (South),Taungoo
Groundnut,40420,Solved,Farming Practices,General Preventions,Farming Information,8/15/2022,1,1,3,Contact Center Team,Messenger,Female,Shan (South),Taungoo
Rice,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,8/15/2022,1,1,5,Contact Center Team,Messenger,Female,Shan (South),Einme
Green gram,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,8/15/2022,1,1,1,Contact Center Team,Messenger,Female,Shan (South),Einme
Rice,40420,Solved,Farming Practices,General Preventions,Farming Information,8/15/2022,1,1,29.67,Contact Center Team,Messenger,Female,Shan (South),Taungoo
Rice,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,8/16/2022,1,1,20.67,Contact Center Team,Messenger,Female,Shan (South),Zalun
Rice,40420,Solved,Farming Practices,General Preventions,Farming Information,8/16/2022,1,1,28.67,Contact Center Team,Messenger,Female,Shan (South),Gyobingauk
Chili,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,8/16/2022,1,1,17.67,Contact Center Team,Messenger,Female,Shan (South),Zalun
Groundnut,40420,Solved,Farming Practices,General Preventions,Farming Information,8/16/2022,1,1,10,Contact Center Team,Messenger,Female,Shan (South),Gyobingauk
Rice,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,8/16/2022,1,1,32,Contact Center Team,Messenger,Female,Shan (South),Zalun
Rice,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,8/16/2022,1,1,9.33,Contact Center Team,Messenger,Female,Shan (South),Zalun
Non Service Crops,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,8/16/2022,1,1,7.67,Contact Center Team,Messenger,Female,Shan (South),Zalun
Rice,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,8/16/2022,1,1,32.33,Contact Center Team,Messenger,Female,Shan (South),Zalun
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,8/16/2022,1,1,45,Contact Center Team,Messenger,Female,Shan (South),Gyobingauk
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,8/16/2022,1,1,40,Contact Center Team,Messenger,Female,Shan (South),Gyobingauk
Rice,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,8/16/2022,1,1,17,Contact Center Team,Messenger,Female,Shan (South),Zalun
Groundnut,40420,Solved,Farming Practices,General Preventions,Farming Information,8/16/2022,1,1,13.33,Contact Center Team,Messenger,Female,Shan (South),Gyobingauk
Rice,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,8/16/2022,1,1,23,Contact Center Team,Messenger,Female,Shan (South),Zalun
Rice,40420,Solved,Farming Practices,General Preventions,Farming Information,8/16/2022,1,1,8,Contact Center Team,Messenger,Female,Shan (South),Gyobingauk
Chili,40420,Solved,Farming Practices,General Preventions,Farming Information,8/16/2022,1,1,24,Contact Center Team,Messenger,Female,Shan (South),Gyobingauk
Groundnut,40420,Solved,Farming Practices,General Preventions,Farming Information,8/16/2022,1,1,7.33,Contact Center Team,Messenger,Female,Shan (South),Gyobingauk
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,8/18/2022,1,1,25.67,Contact Center Team,Messenger,Female,Shan (South),Paukkhaung
Tomato,40420,Solved,Farming Practices,General Preventions,Farming Information,8/18/2022,1,1,30.67,Contact Center Team,Messenger,Female,Shan (South),Paukkhaung
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,8/18/2022,1,1,18.33,Contact Center Team,Messenger,Female,Shan (South),Paukkhaung
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,8/18/2022,1,1,25.33,Contact Center Team,Messenger,Female,Shan (South),Paukkhaung
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,8/18/2022,1,1,35,Contact Center Team,Messenger,Female,Shan (South),Paukkhaung
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,8/18/2022,1,1,22,Contact Center Team,Messenger,Female,Shan (South),Paukkhaung
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,8/18/2022,1,1,16.67,Contact Center Team,Messenger,Female,Shan (South),Paukkhaung
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,8/18/2022,1,1,20.33,Contact Center Team,Messenger,Female,Shan (South),Paukkhaung
Non Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,8/18/2022,1,1,11.67,Contact Center Team,Messenger,Female,Shan (South),Paukkhaung
Green gram,40420,Solved,Farming Practices,General Preventions,Farming Information,8/18/2022,1,1,12.67,Contact Center Team,Messenger,Female,Shan (South),Paukkhaung
Chili,40420,Solved,Farming Practices,General Preventions,Farming Information,8/18/2022,1,1,19.33,Contact Center Team,Messenger,Female,Shan (South),Paukkhaung
Rice,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,8/18/2022,1,1,15.67,Contact Center Team,Messenger,Female,Shan (South),Ingapu
Non Service Crops,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,8/18/2022,1,1,32.67,Contact Center Team,Messenger,Female,Shan (South),Ingapu
Rice,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,8/18/2022,1,1,6.33,Contact Center Team,Messenger,Female,Shan (South),Ingapu
Non Service Crops,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,8/19/2022,1,1,23,Contact Center Team,Messenger,Female,Shan (South),Natmauk
Non Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,8/19/2022,1,1,37.67,Contact Center Team,Messenger,Female,Shan (South),Taungdwingyi
Rice,40420,Solved,Farming Practices,General Preventions,Farming Information,8/19/2022,1,1,23.33,Contact Center Team,Messenger,Female,Shan (South),Taungdwingyi
Non Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,8/19/2022,1,1,29.67,Contact Center Team,Messenger,Female,Shan (South),Taungdwingyi
Non Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,8/22/2022,1,1,29.33,Contact Center Team,Messenger,Female,Shan (South),Maubin
Chili,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,8/22/2022,1,1,11.33,Contact Center Team,Messenger,Female,Shan (South),Waw
Groundnut,40420,Solved,Farming Practices,General Preventions,Farming Information,8/22/2022,1,1,2,Contact Center Team,Messenger,Female,Shan (South),Maubin
Groundnut,40420,Solved,Farming Practices,General Preventions,Farming Information,8/22/2022,1,1,37,Contact Center Team,Messenger,Female,Shan (South),Maubin
Non Service Crops,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,8/22/2022,1,1,18.33,Contact Center Team,Messenger,Female,Shan (South),Waw
Rice,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,8/22/2022,1,1,17.67,Contact Center Team,Messenger,Female,Shan (South),Waw
Rice,40420,Solved,Farming Practices,General Preventions,Farming Information,8/22/2022,1,1,58,Contact Center Team,Messenger,Female,Shan (South),Maubin
Rice,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,8/22/2022,1,1,49,Contact Center Team,Messenger,Female,Shan (South),Waw
Chili,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,8/22/2022,1,1,7,Contact Center Team,Messenger,Female,Shan (South),Waw
Chili,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,8/22/2022,1,1,15,Contact Center Team,Messenger,Female,Shan (South),Waw
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,8/22/2022,1,1,16,Contact Center Team,Messenger,Female,Shan (South),Maubin
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,8/22/2022,1,1,12.33,Contact Center Team,Messenger,Female,Shan (South),Maubin
Rice,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,8/22/2022,1,1,9.33,Contact Center Team,Messenger,Female,Shan (South),Waw
Groundnut,40420,Solved,Farming Practices,General Preventions,Farming Information,8/22/2022,1,1,3.33,Contact Center Team,Messenger,Female,Shan (South),Maubin
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,8/22/2022,1,1,24.33,Contact Center Team,Messenger,Female,Shan (South),Maubin
Groundnut,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,8/22/2022,1,1,37,Contact Center Team,Messenger,Female,Shan (South),Waw
Chili,40420,Solved,Farming Practices,General Preventions,Farming Information,8/22/2022,1,1,23.33,Contact Center Team,Messenger,Female,Shan (South),Maubin
Sesame,40420,Solved,Farming Practices,General Preventions,Farming Information,8/22/2022,1,1,26.67,Contact Center Team,Messenger,Female,Shan (South),Maubin
Service Crops,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,8/22/2022,1,1,27,Contact Center Team,Messenger,Female,Shan (South),Waw
Rice,40420,Solved,Farming Practices,General Preventions,Farming Information,8/22/2022,1,1,27.33,Contact Center Team,Messenger,Female,Shan (South),Maubin
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,8/22/2022,1,1,9.33,Contact Center Team,Messenger,Female,Shan (South),Maubin
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,8/22/2022,1,1,24.67,Contact Center Team,Messenger,Female,Shan (South),Maubin
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,8/22/2022,1,1,11.33,Contact Center Team,Messenger,Female,Shan (South),Maubin
Cabbage,40420,Solved,Farming Practices,General Preventions,Farming Information,8/22/2022,1,1,14,Contact Center Team,Messenger,Female,Shan (South),Maubin
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,8/22/2022,1,1,14.33,Contact Center Team,Messenger,Female,Shan (South),Maubin
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,8/23/2022,1,1,41,Contact Center Team,Messenger,Female,Shan (South),Aunglan
Non Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,8/23/2022,1,1,46,Contact Center Team,Messenger,Female,Shan (South),Aunglan
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,8/23/2022,1,1,38,Contact Center Team,Messenger,Female,Shan (South),Aunglan
Groundnut,40420,Solved,Farming Practices,General Preventions,Farming Information,8/23/2022,1,1,26.33,Contact Center Team,Messenger,Female,Shan (South),Aunglan
Non Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,8/24/2022,1,1,28,Contact Center Team,Messenger,Female,Shan (South),Meiktila
Rice,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,8/24/2022,1,1,15.67,Contact Center Team,Messenger,Female,Shan (South),Bogale
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,8/24/2022,1,1,1,Contact Center Team,Messenger,Female,Shan (South),Meiktila
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,8/24/2022,1,1,36,Contact Center Team,Messenger,Female,Shan (South),Meiktila
Non Service Crops,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,8/24/2022,1,1,31,Contact Center Team,Messenger,Female,Shan (South),Bogale
Non Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,8/26/2022,1,1,13.67,Contact Center Team,Messenger,Female,Shan (South),Minbu
Non Service Crops,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,8/26/2022,1,1,12.67,Contact Center Team,Messenger,Female,Shan (South),Nyaunglebin
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,8/26/2022,1,1,22,Contact Center Team,Messenger,Female,Shan (South),Minbu
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,8/26/2022,1,1,18.67,Contact Center Team,Messenger,Female,Shan (South),Minbu
Non Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,8/26/2022,1,1,29,Contact Center Team,Messenger,Female,Shan (South),Minbu
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,8/26/2022,1,1,29.67,Contact Center Team,Messenger,Female,Shan (South),Minbu
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,8/29/2022,1,1,54,Contact Center Team,Messenger,Female,Shan (South),Taungoo
Rice,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,8/29/2022,1,1,49,Contact Center Team,Messenger,Female,Shan (South),Danubyu
Rice,40420,Solved,Farming Practices,General Preventions,Farming Information,8/29/2022,1,1,20.33,Contact Center Team,Messenger,Female,Shan (South),Taungoo
Non Service Crops,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,8/29/2022,1,1,33.33,Contact Center Team,Messenger,Female,Shan (South),Danubyu
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,8/30/2022,1,1,18,Contact Center Team,Messenger,Female,Shan (South),Bago
Rice,40420,Solved,Farming Practices,General Preventions,Farming Information,8/30/2022,1,1,23.33,Contact Center Team,Messenger,Female,Shan (South),Bago
Sesame,40420,Solved,Farming Practices,General Preventions,Farming Information,8/30/2022,1,1,13,Contact Center Team,Messenger,Female,Shan (South),Bago
Chickpea,40420,Solved,Farming Practices,General Preventions,Farming Information,9/5/2022,1,1,24,Contact Center Team,Messenger,Female,Shan (South),Kyaukkyi
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/6/2022,1,1,34,Contact Center Team,Messenger,Female,Shan (South),Myanaung
Rice,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/6/2022,1,1,44,Contact Center Team,Messenger,Female,Shan (South),Kyaiklat
Non Service Crops,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/6/2022,1,1,25,Contact Center Team,Messenger,Female,Shan (South),Kyaiklat
Rice,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/6/2022,1,1,31.67,Contact Center Team,Messenger,Female,Shan (South),Kyaiklat
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/6/2022,1,1,25.33,Contact Center Team,Messenger,Female,Shan (South),Myanaung
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/6/2022,1,1,21.67,Contact Center Team,Messenger,Female,Shan (South),Myanaung
Rice,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/6/2022,1,1,25.67,Contact Center Team,Messenger,Female,Shan (South),Kyaiklat
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/6/2022,1,1,17.67,Contact Center Team,Messenger,Female,Shan (South),Myanaung
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/6/2022,1,1,16.67,Contact Center Team,Messenger,Female,Shan (South),Myanaung
Rice,40420,Solved,Farming Practices,General Preventions,Farming Information,9/6/2022,1,1,13.33,Contact Center Team,Messenger,Female,Shan (South),Myanaung
Chili,40420,Solved,Farming Practices,General Preventions,Farming Information,9/6/2022,1,1,26,Contact Center Team,Messenger,Female,Shan (South),Myanaung
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/6/2022,1,1,22.67,Contact Center Team,Messenger,Female,Shan (South),Myanaung
Rice,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/6/2022,1,1,24.33,Contact Center Team,Messenger,Female,Shan (South),Kyaiklat
Groundnut,40420,Solved,Farming Practices,General Preventions,Farming Information,9/6/2022,1,1,17,Contact Center Team,Messenger,Female,Shan (South),Myanaung
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/6/2022,1,1,24.33,Contact Center Team,Messenger,Female,Shan (South),Myanaung
Rice,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/6/2022,1,1,24.33,Contact Center Team,Messenger,Female,Shan (South),Kyaiklat
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/6/2022,1,1,39,Contact Center Team,Messenger,Female,Shan (South),Myanaung
Groundnut,40420,Solved,Farming Practices,General Preventions,Farming Information,9/6/2022,1,1,20.33,Contact Center Team,Messenger,Female,Shan (South),Myanaung
Rice,40420,Solved,Farming Practices,General Preventions,Farming Information,9/7/2022,1,1,1,Contact Center Team,Messenger,Female,Shan (South),Magway
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/7/2022,1,1,37,Contact Center Team,Messenger,Female,Shan (South),Magway
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/7/2022,1,1,24.67,Contact Center Team,Messenger,Female,Shan (South),Magway
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/12/2022,1,1,26,Contact Center Team,Messenger,Female,Shan (South),Myanaung
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/12/2022,1,1,8.33,Contact Center Team,Messenger,Female,Shan (South),Myanaung
Non Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/12/2022,1,1,8.33,Contact Center Team,Messenger,Female,Shan (South),Myanaung
Non Service Crops,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/12/2022,1,1,33,Contact Center Team,Messenger,Female,Shan (South),Myanaung
Non Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/12/2022,1,1,20.67,Contact Center Team,Messenger,Female,Shan (South),Myanaung
Non Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/12/2022,1,1,34,Contact Center Team,Messenger,Female,Shan (South),Myanaung
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/12/2022,1,1,36,Contact Center Team,Messenger,Female,Shan (South),Myanaung
Non Service Crops,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/12/2022,1,1,34,Contact Center Team,Messenger,Female,Shan (South),Myanaung
Rice,40420,Solved,Farming Practices,General Preventions,Farming Information,9/12/2022,1,1,20,Contact Center Team,Messenger,Female,Shan (South),Myanaung
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/12/2022,1,1,19,Contact Center Team,Messenger,Female,Shan (South),Myanaung
Rice,40420,Solved,Farming Practices,General Preventions,Farming Information,9/12/2022,1,1,34.5,Contact Center Team,Messenger,Female,Shan (South),Myanaung
Rice,40420,Solved,Farming Practices,General Preventions,Farming Information,9/12/2022,1,1,25,Contact Center Team,Messenger,Female,Shan (South),Myanaung
Rice,40420,Solved,Farming Practices,General Preventions,Farming Information,9/13/2022,1,1,2,Contact Center Team,Messenger,Female,Shan (South),Dedaye
Non Service Crops,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/13/2022,1,1,20.33,Contact Center Team,Messenger,Female,Shan (South),Gyobingauk
Rice,40420,Solved,Farming Practices,General Preventions,Farming Information,9/13/2022,1,1,23.67,Contact Center Team,Messenger,Female,Shan (South),Dedaye
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/13/2022,1,1,7.33,Contact Center Team,Messenger,Female,Shan (South),Dedaye
Non Service Crops,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/13/2022,1,1,6,Contact Center Team,Messenger,Female,Shan (South),Gyobingauk
Groundnut,40420,Solved,Farming Practices,General Preventions,Farming Information,9/13/2022,1,1,13.67,Contact Center Team,Messenger,Female,Shan (South),Dedaye
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/13/2022,1,1,22.33,Contact Center Team,Messenger,Female,Shan (South),Dedaye
Rice,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/13/2022,1,1,35.67,Contact Center Team,Messenger,Female,Shan (South),Gyobingauk
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/13/2022,1,1,31.33,Contact Center Team,Messenger,Female,Shan (South),Dedaye
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/13/2022,1,1,22.67,Contact Center Team,Messenger,Female,Shan (South),Dedaye
Rice,40420,Solved,Farming Practices,General Preventions,Farming Information,9/13/2022,1,1,23.33,Contact Center Team,Messenger,Female,Shan (South),Dedaye
Chili,40420,Solved,Farming Practices,General Preventions,Farming Information,9/13/2022,1,1,22.33,Contact Center Team,Messenger,Female,Shan (South),Dedaye
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/13/2022,1,1,21,Contact Center Team,Messenger,Female,Shan (South),Dedaye
Rice,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/13/2022,1,1,15,Contact Center Team,Messenger,Female,Shan (South),Gyobingauk
Chickpea,40420,Solved,Farming Practices,General Preventions,Farming Information,9/13/2022,1,1,24.67,Contact Center Team,Messenger,Female,Shan (South),Dedaye
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/15/2022,1,1,56,Contact Center Team,Messenger,Female,Shan (South),Shwedaung
Rice,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/15/2022,1,1,52,Contact Center Team,Messenger,Female,Shan (South),Pyay
Non Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/15/2022,1,1,32,Contact Center Team,Messenger,Female,Shan (South),Shwedaung
Non Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/16/2022,1,1,37,Contact Center Team,Messenger,Female,Shan (South),Kyaukpadaung
Black gram,40420,Solved,Farming Practices,General Preventions,Farming Information,9/19/2022,1,1,15.33,Contact Center Team,Messenger,Female,Shan (South),Kyangin
Rice,40420,Solved,Farming Practices,General Preventions,Farming Information,9/19/2022,1,1,11.67,Contact Center Team,Messenger,Female,Shan (South),Kyangin
Chili,40420,Solved,Farming Practices,General Preventions,Farming Information,9/19/2022,1,1,11,Contact Center Team,Messenger,Female,Shan (South),Kyangin
