Date,Self-Unidentified,State,Township,Crop,Inquiry Type,Inquiry Topic,Source,Product Segment,First Handler Status,Assigned Team,# of Inquirer,# of Inquiry
11/10/2021,Female,,,Black gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,3,3
11/10/2021,Female,,,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,4,4
11/10/2021,Female,,,Groundnut,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,2,2
11/23/2020,Male,Mon,Ye,,General Info,Dealer Store Partnerships,Inquiry Call,Micro-irrigation,Solved,Contact Center Team,1,1
11/10/2021,Female,Bago (East),,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
11/10/2021,Male,,,Unknown,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,2,2
11/10/2021,Male,,,Chickpea,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,2,2
11/10/2021,Male,,,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,10,10
11/24/2020,Female,Magway,Yenangyaung,,General Info,Dealer Store Partnerships,Inquiry Call,Micro-irrigation,Solved,Contact Center Team,1,1
11/10/2021,Male,,,Black gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,6,6
11/10/2021,Male,,,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,16,16
11/25/2020,Male,Bago (West),Gyobingauk,,General Info,Dealer Store Partnerships,Inquiry Call,Micro-irrigation,Solved,Contact Center Team,1,1
11/10/2021,Male,,,Sesame,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,3,3
11/10/2021,Male,,,Groundnut,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,2,2
11/10/2021,Male,Ayeyarwady,,Black gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
11/10/2021,Self-Unidentified,,,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
11/10/2021,Self-Unidentified,,,Black gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
11/10/2021,Self-Unidentified,,,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,2,2
11/10/2021,Self-Unidentified,,,Groundnut,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/1/2021,Male,Ayeyarwady,Hinthada,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/1/2021,Male,Ayeyarwady,Kyaunggon,Black gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/1/2021,Male,Ayeyarwady,Pantanaw,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/1/2021,Male,Ayeyarwady,Wakema,Black gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,2,2
12/2/2021,Male,Magway,Aunglan,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/2/2021,Male,Sagaing,Taze,Onion,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/3/2021,Male,,,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Self-Unidentified,,,Groundnut,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Self-Unidentified,Bago (West),Pyay,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Self-Unidentified,Shan (North),Namhkan,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Female,Ayeyarwady,Danubyu,Black gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Female,Ayeyarwady,Kyangin,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Female,Ayeyarwady,Lemyethna,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Female,Ayeyarwady,Maubin,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Female,Ayeyarwady,Pantanaw,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Female,Bago (East),Phyu,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Female,Bago (West),Paukkhaung,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Female,Bago (West),Thayarwady,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Female,Magway,Kamma,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Female,Magway,Salin,Chili,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Female,Magway,Sinbaungwe,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Female,Magway,Yenangyaung,Chili,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Female,Magway,Yesagyo,Chili,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Female,Mandalay,Tada-U,Chili,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Female,Nay Pyi Taw,Poke Ba Thi Ri,Black gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Female,Rakhine,Ramree,Groundnut,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Female,Sagaing,Kani,Groundnut,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Female,Sagaing,Monywa,Chili,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Female,Sagaing,Tabayin,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Female,Sagaing,Taze,Groundnut,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Male,Ayeyarwady,Danubyu,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Male,Ayeyarwady,Einme,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Male,Ayeyarwady,Hinthada,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Male,Ayeyarwady,Ingapu,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Male,Ayeyarwady,Ingapu,Black gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Male,Ayeyarwady,Kangyidaunt,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
11/25/2020,Male,Mandalay,Chanayethazan / Chanmyathazi,,General Info,Dealer Store Partnerships,Inquiry Call,Micro-irrigation,Solved,Contact Center Team,1,1
12/6/2021,Male,Ayeyarwady,Kyaunggon,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Male,Ayeyarwady,Kyonpyaw,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Male,Ayeyarwady,Lemyethna,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,2,2
12/6/2021,Male,Ayeyarwady,Nyaungdon,Black gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Male,Ayeyarwady,Pathein,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Male,Ayeyarwady,Thabaung,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Male,Ayeyarwady,Yegyi,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Male,Bago (East),Daik-U,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,2,2
12/6/2021,Male,Bago (East),Kawa,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,3,3
12/6/2021,Male,Bago (East),Kyauktaga,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Male,Bago (East),Phyu,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Male,Bago (East),Thanatpin,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Male,Bago (East),Waw,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Male,Bago (West),Gyobingauk,Black gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Male,Bago (West),Letpadan,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,3,3
12/6/2021,Male,Bago (West),Letpadan,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Male,Bago (West),Monyo,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Male,Magway,Aunglan,Groundnut,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Male,Magway,Minhla,Black gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Male,Magway,Pakokku,Chili,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Male,Magway,Pauk,Sesame,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Male,Magway,Pwintbyu,Chickpea,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,3,3
12/6/2021,Male,Magway,Salin,Chili,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,2,2
11/26/2020,Female,Mon,Kyaikto,,General Info,Dealer Store Partnerships,Inquiry Call,Micro-irrigation,Internal,Contact Center Team,1,1
12/6/2021,Male,Magway,Yesagyo,Chickpea,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Male,Mandalay,Kyaukpadaung,Onion,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Male,Mandalay,Natogyi,Onion,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Male,Mandalay,Ngazun,Chickpea,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
11/26/2020,Female,Mon,Thaton,,General Info,Dealer Store Partnerships,Inquiry Call,Micro-irrigation,Internal,Contact Center Team,1,1
12/6/2021,Male,Mandalay,Ngazun,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Male,Mandalay,Nyaung-U,Sesame,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Male,Mandalay,Nyaung-U,Groundnut,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Male,Mandalay,Singu,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Male,Mandalay,Singu,Groundnut,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,2,2
12/6/2021,Male,Mandalay,Tada-U,Chickpea,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Male,Mandalay,Taungtha,Groundnut,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Male,Mon,Kyaikto,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Male,Nay Pyi Taw,Lewe,Black gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Male,Nay Pyi Taw,Lewe,Groundnut,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Male,Sagaing,Chaung-U,Chickpea,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Male,Sagaing,Katha,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Male,Sagaing,Khin-U,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Male,Sagaing,Monywa,Onion,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Male,Sagaing,Myinmu,Chickpea,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Male,Sagaing,Shwebo,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Male,Sagaing,Shwebo,Sesame,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Male,Sagaing,Shwebo,Groundnut,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Male,Sagaing,Taze,Groundnut,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Male,Sagaing,Wetlet,Chickpea,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Male,Sagaing,Wetlet,Onion,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Male,Sagaing,Yinmarbin,Chickpea,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Male,Shan (South),Nyaungshwe,Chili,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,2,2
12/6/2021,Male,Shan (South),Pekon,Groundnut,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Male,Yangon,Htantabin,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,2,2
11/26/2020,Female,Mon,Thaton,,General Info,Dealer Store Partnerships,Inquiry Call,Micro-irrigation,Solved,Contact Center Team,1,1
12/6/2021,Male,Yangon,Taikkyi,Chili,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Male,Yangon,Thongwa,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,4,4
12/6/2021,Self-Unidentified,Magway,Pakokku,Sesame,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/6/2021,Self-Unidentified,Mandalay,Kyaukpadaung,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/3/2020,Male,Bago (West),Pyay,,General Info,Dealer Store Partnerships,Inquiry Call,Micro-irrigation,Internal,Contact Center Team,1,1
12/7/2021,Female,Ayeyarwady,Pantanaw,Chili,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/7/2021,Female,Bago (West),Letpadan,Black gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/7/2021,Female,Bago (West),Padaung,Groundnut,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/3/2020,Male,Magway,Pauk,,General Info,Dealer Store Partnerships,Inquiry Call,Micro-irrigation,Internal,Contact Center Team,1,1
12/7/2021,Female,Magway,Salin,Chickpea,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/7/2021,Female,Magway,Sinbaungwe,Sesame,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/7/2021,Female,Magway,Yenangyaung,Chickpea,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/7/2021,Female,Mandalay,Mahlaing,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/7/2021,Female,Mandalay,Nyaung-U,Groundnut,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/7/2021,Female,Mandalay,Yamethin,Chili,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/7/2021,Female,Rakhine,Mrauk-U,Chili,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/7/2021,Female,Sagaing,Banmauk,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/7/2021,Female,Sagaing,Kani,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/7/2021,Female,Sagaing,Kyunhla,Groundnut,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/7/2021,Female,Sagaing,Pale,Black gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/7/2021,Female,Sagaing,Taze,Groundnut,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,2,2
12/7/2021,Female,Sagaing,Yinmarbin,Chickpea,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/7/2021,Male,Ayeyarwady,Danubyu,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/7/2021,Male,Ayeyarwady,Hinthada,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/7/2021,Male,Ayeyarwady,Ingapu,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/7/2021,Male,Ayeyarwady,Ingapu,Black gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/7/2021,Male,Ayeyarwady,Kyonpyaw,Black gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/7/2021,Male,Ayeyarwady,Lemyethna,Black gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,2,2
12/7/2021,Male,Ayeyarwady,Maubin,Chili,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/7/2021,Male,Ayeyarwady,Mawlamyinegyun,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/7/2021,Male,Ayeyarwady,Pantanaw,Black gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/7/2021,Male,Ayeyarwady,Pantanaw,Chili,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,2,2
12/7/2021,Male,Ayeyarwady,Pathein,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,2,2
12/7/2021,Male,Ayeyarwady,Yegyi,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,3,3
12/7/2021,Male,Bago (East),,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/7/2021,Male,Bago (East),Kyaukkyi,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/7/2021,Male,Bago (East),Nyaunglebin,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/7/2021,Male,Bago (East),Oktwin,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/3/2020,Male,Shan (South),Lawksawk,,General Info,Dealer Store Partnerships,Inquiry Call,Micro-irrigation,Solved,Contact Center Team,1,1
12/7/2021,Male,Bago (East),Phyu,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/7/2021,Male,Bago (East),Waw,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/7/2021,Male,Bago (West),Monyo,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,2,2
